site_id,timestamp,traffic_load,num_users,average_throughput,peak_throughput,signal_strength_dBm,interference_level_dBm,energy_consumption_kW,sleep_mode_enabled,handover_failures,latency_ms,optimization_action
S001,1/1/2017 16:00,7.88528978,9,0.5,0.757563244,-95.1401866,-91.49255616,1.365511162,TRUE,0,18.69480339,no_change
S008,1/1/2017 16:00,42.57290347,48,6.212213815,10.94338317,-89.19136602,-107.9405052,3.360090176,FALSE,0,21.67611068,no_change
S008,1/1/2017 1:00,87.47523054,97,9.873631778,13.54365405,-88.99773348,-94.58936475,2.92720426,FALSE,1,15.84852049,increase_capacity
S010,1/1/2017 14:00,55.99653242,75,14.96321744,22.13364229,-79.827712,-110.4450255,4.240766123,FALSE,1,11.54850293,no_change
S001,1/1/2017 13:00,86.3721204,93,10.94819793,15.34557898,-88.8108461,-97.58973143,4.817167799,FALSE,0,23.59312438,increase_capacity
S006,1/2/2017 13:00,24.86037719,34,4.035398713,6.759370825,-87.42388127,-103.821846,1.382986517,TRUE,1,16.15358031,no_change
S008,1/1/2017 23:00,19.36396796,26,0.721953429,1.033353947,-97.40149939,-94.41357313,1.469918734,TRUE,0,12.78549779,no_change
S001,1/1/2017 6:00,61.15300856,85,6.830467655,10.126684,-92.71380756,-87.96459749,4.454205658,FALSE,1,21.19505043,no_change
S004,1/1/2017 22:00,30.81958431,31,1.185158655,1.962029689,-95.71036205,-99.12623219,3.739822125,FALSE,0,15.93509341,no_change
S003,1/2/2017 1:00,12.50579898,15,1.167010746,1.988394977,-90.29352008,-104.2480815,0.836628342,TRUE,0,12.74124545,no_change
S009,1/2/2017 21:00,55.67869845,71,11.56536429,14.06450175,-80.51653009,-107.6211871,2.026292641,FALSE,0,17.52958527,no_change
S004,1/2/2017 20:00,41.47102148,55,0.5,0.651334243,-100.7788984,-106.2990721,3.148724013,FALSE,0,21.29278949,no_change
S006,1/3/2017 1:00,6.50690958,9,0.975403923,1.734109313,-89.66792592,-100.7720847,0.716099349,TRUE,0,15.89810143,no_change
S002,1/2/2017 13:00,6.976049997,8,0.827477709,1.499909747,-88.01206424,-106.1295486,1.695989217,TRUE,0,20.23399799,no_change
S007,1/1/2017 12:00,41.03553823,41,7.946823617,14.8510045,-80.69346281,-96.17649662,2.573006948,FALSE,1,11.52916011,no_change
S005,1/1/2017 3:00,25.50601145,26,4.196840586,7.499166431,-86.33120665,-99.27723882,1.710600061,TRUE,0,13.1676797,no_change
S004,1/1/2017 13:00,62.61609679,84,16.81328828,26.95883659,-82.1681503,-95.93570233,2.676432466,FALSE,1,21.51976819,no_change
S002,1/1/2017 21:00,75.53620582,83,11.60939339,16.60010547,-84.29373229,-97.51677879,3.207045438,FALSE,0,23.06934628,increase_capacity
S003,1/1/2017 4:00,71.07299587,77,6.25157442,10.28376454,-90.19387849,-100.3419962,4.527489267,FALSE,0,19.63684313,increase_capacity
S006,1/1/2017 23:00,44.15547837,47,7.224398348,8.806742893,-84.63300294,-93.54395343,2.203193419,FALSE,1,22.23565968,no_change
S006,1/2/2017 12:00,76.72024518,94,14.73886172,20.43275151,-83.74056186,-96.31237678,2.51876641,FALSE,0,15.53389904,increase_capacity
S001,1/1/2017 17:00,58.31214451,62,4.007856251,6.116294191,-93.73531882,-104.3138682,1.785041455,FALSE,1,21.52052761,no_change
S001,1/1/2017 9:00,71.76119766,82,11.40757986,16.80845174,-88.25612499,-104.2119746,2.07860669,FALSE,0,17.81013192,increase_capacity
S002,1/2/2017 10:00,40.56150352,52,3.433439425,6.133009845,-94.16511592,-97.8787617,1.919991958,FALSE,0,13.13743941,no_change
S002,1/1/2017 20:00,67.46850748,84,9.002906415,14.25570351,-88.44134963,-103.4233451,4.624726459,FALSE,0,24.21009245,no_change
S010,1/2/2017 15:00,52.84795073,67,5.767113779,9.686488729,-89.52555756,-103.2607661,2.38254073,FALSE,0,10.51110042,no_change
S005,1/1/2017 1:00,84.98121361,85,13.9293175,27.64700905,-84.37907678,-103.9341611,5.23447272,FALSE,0,19.85503039,increase_capacity
S001,1/2/2017 6:00,13.50486763,15,2.050115237,3.108284276,-85.59582106,-98.94815784,0.652739713,TRUE,0,29.0882654,no_change
S001,1/2/2017 14:00,16.01332231,23,2.20687152,3.621124676,-88.53383255,-96.52541241,0.999082102,TRUE,0,26.35569804,no_change
S010,1/1/2017 16:00,24.58363024,29,3.533440618,6.313530743,-84.77618229,-104.7070727,1.395789386,TRUE,0,23.75250398,no_change
S003,1/1/2017 1:00,80.60984571,110,17.11949085,30.13471197,-82.49112998,-98.81014229,5.057577841,FALSE,0,14.86402573,increase_capacity
S004,1/2/2017 11:00,66.48585523,86,16.4262992,24.72160653,-80.81066382,-95.14998377,2.040576964,FALSE,1,22.88337563,no_change
S004,1/1/2017 11:00,66.47306742,93,4.858441146,8.22884354,-95.3651525,-94.78011365,4.500662582,FALSE,0,11.08619798,no_change
S008,1/2/2017 7:00,67.69095957,79,1.492632394,1.99660948,-98.28615089,-96.78750863,4.619467107,FALSE,2,23.37172391,no_change
S007,1/2/2017 23:00,9.790893385,12,0.871747756,1.092992316,-91.4980663,-105.4255911,1.434753754,TRUE,0,24.13204185,no_change
S003,1/1/2017 7:00,25.8385613,32,4.41695018,7.74017149,-86.54933758,-103.8195694,0.996047381,TRUE,0,25.08757928,no_change
S005,1/2/2017 18:00,51.42613431,73,1.731266357,3.335053164,-97.79604743,-93.57103457,4.039904147,FALSE,1,23.86289973,no_change
S010,1/1/2017 19:00,20.16921046,23,2.115847131,2.94407502,-89.78774805,-101.7958736,0.901076091,TRUE,0,24.5375356,no_change
S007,1/2/2017 2:00,14.7721271,16,2.564893086,3.999920665,-85.98251975,-95.90442629,1.080801456,TRUE,0,11.66812578,no_change
S010,1/2/2017 19:00,35.40339817,35,2.731409943,5.377021147,-91.29087606,-98.74296485,1.863917771,FALSE,0,11.16691669,no_change
S005,1/1/2017 20:00,84.99835737,127,11.35371192,17.79742361,-90.15620713,-106.635925,4.047794921,FALSE,0,22.23458981,increase_capacity
S002,1/2/2017 15:00,22.71986165,29,2.437583187,3.308323325,-92.07747335,-90.96365044,2.013064104,TRUE,1,13.11350374,reduce_energy
S004,1/2/2017 21:00,76.37672643,83,4.878529824,8.497835584,-94.48424948,-94.52339851,4.641333121,FALSE,0,22.31944356,increase_capacity
S008,1/1/2017 3:00,64.15688194,76,0.5,0.998209914,-99.78848023,-98.86580559,1.815732013,FALSE,0,10.71446611,no_change
S008,1/1/2017 11:00,50.40705705,51,9.263870501,18.07568452,-80.58723124,-98.58161345,3.35740528,FALSE,0,25.75051352,no_change
S005,1/2/2017 6:00,39.07044505,40,0.5,0.655657798,-102.3435393,-100.8329624,2.883783713,FALSE,0,22.60620022,no_change
S002,1/1/2017 23:00,20.6841614,25,1.252304574,2.432956007,-95.05319222,-88.81306193,1.71315676,TRUE,1,20.49381231,no_change
S006,1/2/2017 22:00,28.15487689,37,4.428918926,5.726564181,-88.64633861,-99.32820714,0.930131816,TRUE,0,17.21879608,no_change
S008,1/1/2017 19:00,12.22992695,15,2.933729599,4.293232994,-80.13449699,-96.85739364,1.270692031,TRUE,1,11.59572669,no_change
S005,1/1/2017 8:00,65.84198749,94,15.72976271,27.55532081,-85.14969546,-99.19091184,3.286815087,FALSE,0,11.90243057,no_change
S010,1/2/2017 14:00,19.29300411,27,2.517147302,4.974704826,-89.14028589,-100.7545851,1.341634528,TRUE,0,20.02314442,no_change
S007,1/1/2017 9:00,52.79189063,74,7.723774438,11.20876637,-88.25109501,-109.0698535,3.337283221,FALSE,0,24.72401507,no_change
S004,1/1/2017 9:00,70.1233356,98,16.00475739,20.72500892,-81.53562495,-107.2619986,3.465423421,FALSE,0,26.74444214,increase_capacity
S005,1/1/2017 7:00,7.952769494,9,0.954828958,1.34520609,-87.51330348,-96.07692105,0.761366605,TRUE,0,17.48364662,no_change
S007,1/1/2017 13:00,57.63638194,77,4.699846467,9.322645909,-94.11126503,-97.80017821,4.473164786,FALSE,0,20.83851692,no_change
S009,1/1/2017 18:00,13.54402313,15,0.578228848,0.830612415,-95.76793326,-96.23079971,1.286227075,TRUE,1,29.80811203,no_change
S007,1/1/2017 18:00,18.49311479,20,1.724842864,2.232450783,-90.36745422,-95.07020942,1.581962409,TRUE,0,13.02002916,no_change
S002,1/2/2017 17:00,70.82082227,105,17.90872945,21.77219165,-85.33545791,-99.70398086,4.093093085,FALSE,0,18.33646658,increase_capacity
S008,1/1/2017 17:00,39.63783192,45,4.880800285,9.101337217,-88.69376895,-106.1166466,1.807065685,FALSE,0,15.36685845,no_change
S009,1/1/2017 9:00,41.95666751,56,0.5,0.738248166,-101.248937,-88.75173144,2.717349834,FALSE,0,15.83784731,no_change
S010,1/1/2017 4:00,49.61481087,70,11.82056139,14.36019421,-81.67185206,-95.22081287,2.950452148,FALSE,0,16.86000858,no_change
S003,1/1/2017 19:00,61.40427129,91,0.5,0.784706645,-99.56837955,-90.32906611,2.801445425,FALSE,0,18.63646579,no_change
